T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
France,Paraguay,1,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,8,-1,27,7,10,10,30,38,-8,24,30,444,28,31
Germany,Cameroon,2,2,18,16,106,66,20,20,224,121,103,152,60,717,179,218,7,2,23,4,7,12,18,43,-25,15,31,326,16,19
Turkey,United States,1,2,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Belgium,Sweden,2,0,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Israel,Honduras,4,2,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
U.A.E.,Georgia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,Czech Republic,2,1,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Switzerland,Peru,2,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,4,-8,15,4,3,8,19,31,-12,11,19,367,11,15
Greece,Nigeria,0,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,5,2,18,5,3,10,20,26,-6,13,23,361,18,18
Bosnia & Herzegovina,Mexico,1,0,1,1,3,1,0,2,4,4,0,2,4,333,3,3,15,6,53,14,14,25,57,92,-35,42,64,396,50,56
Gibraltar,Malta,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,Hungary,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Algeria,Romania,2,1,4,2,13,3,3,7,13,19,-6,9,17,346,10,12,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Netherlands,Wales,2,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Italy,Luxembourg,1,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
England,Ecuador,2,2,14,5,62,26,19,17,79,56,23,71,53,573,79,97,3,1,10,4,1,5,10,11,-1,9,11,450,13,13
Iceland,Estonia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,Uruguay,0,2,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,12,2,51,20,12,19,80,71,9,52,50,510,57,72
North. Ireland,Chile,0,2,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,9,2,33,11,7,15,40,49,-9,29,37,439,33,40
Germany,Armenia,6,1,18,16,106,66,20,20,224,121,103,152,60,717,179,218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Serbia,Brazil,0,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Russia,Morocco,2,0,10,1,40,17,8,15,66,47,19,42,38,525,44,59,4,-4,13,2,4,7,12,18,-6,8,18,308,9,10
Poland,Lithuania,2,1,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Australia,1,0,4,1,16,7,2,7,21,17,4,16,16,500,23,23,4,3,13,2,3,8,11,26,-15,7,19,269,9,9
Greece,Bolivia,2,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,3,-5,6,0,1,5,1,20,-19,1,11,83,1,1
Mexico,Portugal,0,1,15,6,53,14,14,25,57,92,-35,42,64,396,50,56,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Rep. of Ireland,Costa Rica,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,15,5,4,6,17,23,-6,14,16,467,17,19
England,Honduras,0,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
Kazakhstan,Hungary,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Tunisia,Belgium,0,1,4,-2,12,1,4,7,8,17,-9,6,18,250,6,7,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Tadzhikistan,Estonia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,Slovenia,2,0,16,11,77,43,13,21,131,84,47,99,55,643,118,142,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Spain,Salvador,2,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Cameroon,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,2,23,4,7,12,18,43,-25,15,31,326,16,19
Albania,San Marino,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jamaica,France,0,8,1,-4,3,1,0,2,3,9,-6,2,4,333,3,3,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Portugal,Rep. of Ireland,5,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,Croatia,3,1,20,20,104,71,16,17,221,102,119,158,50,760,185,229,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Netherlands,Spain,5,1,10,3,50,27,11,12,86,48,38,65,35,650,84,92,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Colombia,Greece,3,0,5,1,18,7,2,9,26,27,-1,16,20,444,22,23,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Italy,England,2,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,14,5,62,26,19,17,79,56,23,71,53,573,79,97
France,Honduras,3,0,14,5,59,29,11,19,106,71,35,69,49,585,83,98,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
Ecuador,Switzerland,1,2,3,1,10,4,1,5,10,11,-1,9,11,450,13,13,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Bosnia & Herzegovina,Argentina,1,2,1,1,3,1,0,2,4,4,0,2,4,333,3,3,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Germany,Portugal,4,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,6,4,26,13,4,9,43,29,14,30,22,577,37,43
South Korea,Russia,1,1,9,8,31,5,9,17,31,67,-36,19,43,306,24,24,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Algeria,Belgium,1,2,4,2,13,3,3,7,13,19,-6,9,17,346,10,12,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Netherlands,Australia,3,2,10,3,50,27,11,12,86,48,38,65,35,650,84,92,4,3,13,2,3,8,11,26,-15,7,19,269,9,9
Chile,Spain,2,0,9,2,33,11,7,15,40,49,-9,29,37,439,33,40,14,10,59,29,12,18,92,66,26,70,48,593,86,99
China,Macedonia,2,0,1,-3,3,0,0,3,0,9,-9,0,6,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,Croatia,0,4,7,2,23,4,7,12,18,43,-25,15,31,326,16,19,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Uruguay,England,2,1,12,2,51,20,12,19,80,71,9,52,50,510,57,72,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Greece,Japan,0,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,5,5,17,4,4,9,14,22,-8,12,22,353,16,16
Italy,Costa Rica,0,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,4,1,15,5,4,6,17,23,-6,14,16,467,17,19
France,Switzerland,5,2,14,5,59,29,11,19,106,71,35,69,49,585,83,98,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Ghana,Germany,2,2,3,3,12,4,3,5,13,16,-3,11,13,458,15,15,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Bosnia & Herzegovina,Nigeria,0,1,1,1,3,1,0,2,4,4,0,2,4,333,3,3,5,2,18,5,3,10,20,26,-6,13,23,361,18,18
Belgium,Russia,1,0,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,10,1,40,17,8,15,66,47,19,42,38,525,44,59
China,Macedonia,0,0,1,-3,3,0,0,3,0,9,-9,0,6,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United States,Portugal,2,2,10,7,33,8,6,19,37,62,-25,22,44,333,27,30,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Australia,Spain,0,3,4,3,13,2,3,8,11,26,-15,7,19,269,9,9,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Netherlands,Chile,2,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,9,2,33,11,7,15,40,49,-9,29,37,439,33,40
Mexico,Croatia,3,1,15,6,53,14,14,25,57,92,-35,42,64,396,50,56,4,1,16,7,2,7,21,17,4,16,16,500,23,23
England,Costa Rica,0,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,4,1,15,5,4,6,17,23,-6,14,16,467,17,19
Italy,Uruguay,0,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,12,2,51,20,12,19,80,71,9,52,50,510,57,72
Greece,Côte d`Ivoire,2,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iran,Bosnia & Herzegovina,1,3,4,1,12,1,3,8,7,22,-15,5,19,208,6,6,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Switzerland,Honduras,3,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
Ecuador,France,0,0,3,1,10,4,1,5,10,11,-1,9,11,450,13,13,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Ghana,Portugal,1,2,3,3,12,4,3,5,13,16,-3,11,13,458,15,15,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Germany,United States,1,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
South Korea,Belgium,0,1,9,8,31,5,9,17,31,67,-36,19,43,306,24,24,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Algeria,Russia,1,1,4,2,13,3,3,7,13,19,-6,9,17,346,10,12,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Greece,Costa Rica,1,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,4,1,15,5,4,6,17,23,-6,14,16,467,17,19
Netherlands,Mexico,2,1,10,3,50,27,11,12,86,48,38,65,35,650,84,92,15,6,53,14,14,25,57,92,-35,42,64,396,50,56
Nigeria,France,0,2,5,2,18,5,3,10,20,26,-6,13,23,361,18,18,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Algeria,Germany,1,2,4,2,13,3,3,7,13,19,-6,9,17,346,10,12,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Switzerland,Argentina,0,1,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Belgium,United States,2,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
France,Germany,0,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Belgium,Argentina,0,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Netherlands,Costa Rica,0,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,4,1,15,5,4,6,17,23,-6,14,16,467,17,19
Germany,Brazil,7,1,18,16,106,66,20,20,224,121,103,152,60,717,179,218,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Argentina,Netherlands,0,0,16,11,77,43,13,21,131,84,47,99,55,643,118,142,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Netherlands,Brazil,3,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Argentina,Germany,0,1,16,11,77,43,13,21,131,84,47,99,55,643,118,142,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Kazakhstan,Tadzhikistan,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,Uzbekistan,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,U.A.E.,0,0,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rep. of Ireland,Oman,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,Russia,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
U.A.E.,Lithuania,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Ukraine,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Latvia,Armenia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,Germany,4,2,16,11,77,43,13,21,131,84,47,99,55,643,118,142,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Denmark,Turkey,1,2,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Czech Republic,United States,0,1,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
England,Norway,1,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Bosnia & Herzegovina,Liechtenstein,3,0,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Tadzhikistan,6,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malta,Slovakia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Sweden,Estonia,2,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,Croatia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Australia,Belgium,0,2,4,3,13,2,3,8,11,26,-15,7,19,269,9,9,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Italy,Netherlands,2,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,10,3,50,27,11,12,86,48,38,65,35,650,84,92
France,Spain,1,0,14,5,59,29,11,19,106,71,35,69,49,585,83,98,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Kyrgyzstan,Kazakhstan,1,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Oman,Kosovo,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,Rep. of Ireland,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,North. Ireland,1,2,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Armenia,Denmark,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Scotland,Germany,1,2,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Gibraltar,Poland,0,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Finland,Faroe Islands,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Romania,0,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Portugal,Albania,0,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
France,Serbia,1,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Liechtenstein,Russia,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Belarus,Luxembourg,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Spain,1,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Slovakia,Ukraine,1,0,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Estonia,Slovenia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
San Marino,Lithuania,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
England,Switzerland,2,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Austria,Sweden,1,1,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Moldova,Montenegro,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Kazakhstan,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,Bulgaria,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Netherlands,Czech Republic,1,2,10,3,50,27,11,12,86,48,38,65,35,650,84,92,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Turkey,Iceland,0,3,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Andorra,2,1,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia & Herzegovina,Cyprus,1,2,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Malta,2,0,4,1,16,7,2,7,21,17,4,16,16,500,23,23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Norway,2,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Ukraine,Belarus,2,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luxembourg,Macedonia,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,Spain,2,1,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,14,10,59,29,12,18,92,66,26,70,48,593,86,99
San Marino,England,0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Estonia,Lithuania,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Switzerland,Slovenia,0,1,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Montenegro,Liechtenstein,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Austria,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Sweden,Russia,1,1,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Latvia,Iceland,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kazakhstan,Netherlands,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Turkey,Czech Republic,1,2,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
